Simulation,Sensitivity,Specificity,Disease probability,MVD given disease,SVD given disease,QALY_NT,Cost_NT,QALY_EST,Cost_EST,QALY_ANG,Cost_ANG
923,0.852680844,0.963171623,0.5414637,0.689465003,0.310534997,8.10737135,818.4472914,5.846396763,4614.214967,9.323011143,2792.503847
924,0.834277055,0.880132876,0.619877118,0.671325388,0.328674612,7.675103088,770.8635766,5.904379324,4857.174389,8.943526236,3111.791266
925,0.858225057,0.875978523,0.645451554,0.741904136,0.258095864,7.340178443,736.206468,5.422162213,4967.30114,9.375104537,3165.529828
926,0.901302851,0.87521434,0.635819382,0.697671146,0.302328854,7.512646684,753.8307038,4.982041955,5053.623691,9.079908119,3157.327834
927,0.881248001,0.894248504,0.505229555,0.687347315,0.312652685,8.332041464,842.8946397,5.01600672,4480.809167,9.427001725,2651.44029
928,0.822996986,0.947727295,0.547500817,0.735025706,0.264974294,7.971428497,804.6532634,5.941874416,4547.540395,9.587765745,2790.408736
929,0.798180704,0.902020223,0.594964707,0.69232043,0.30767957,7.775164158,782.3031605,6.268220701,4680.39069,9.170821917,3000.666115
930,0.864362113,0.908303989,0.558910339,0.69296317,0.30703683,7.993465612,806.1107619,5.430288465,4675.785926,9.289341157,2858.937181
931,0.811094294,0.922012281,0.648142287,0.667100351,0.332899649,7.516096072,753.3965928,6.540684485,4943.29919,8.815870666,3226.053731
932,0.883801417,0.912552485,0.615640021,0.754010854,0.245989146,7.498095479,753.663083,5.193123422,4915.89843,9.537775034,3042.472402
933,0.807374833,0.883522744,0.592012657,0.70742559,0.29257441,7.757585931,780.754108,5.990257376,4669.195923,9.282042999,2979.849204
934,0.793466303,0.927867969,0.650998786,0.676672705,0.323327295,7.474187311,749.0815814,6.759539685,4910.759156,8.876960426,3230.886665
935,0.788949712,0.898295156,0.6008184,0.634734659,0.365265341,7.877107811,791.9948749,6.610058165,4715.149221,8.758175274,3059.377501
936,0.876263817,0.895390964,0.613912154,0.611714901,0.388285099,7.8565197,789.1403389,5.626003801,4970.386199,8.547070073,3126.100137
937,0.839182838,0.903491857,0.64752502,0.778961321,0.221038679,7.231689216,725.3706288,5.666178519,4923.440781,9.642996496,3148.75138
938,0.909080265,0.919049952,0.583653481,0.651456914,0.348543086,7.938965181,799.1776588,5.11030192,4900.822649,8.935074474,2980.969797
939,0.838160386,0.844450745,0.563650117,0.677647288,0.322352712,7.998904921,806.3496097,5.444617875,4615.50003,9.176007759,2886.440001
940,0.890197709,0.916487329,0.655175634,0.75940165,0.24059835,7.233399331,725.0585413,5.21192498,5092.00993,9.480305517,3191.307405
941,0.872614341,0.897841199,0.727470339,0.719974036,0.280025964,6.887602056,686.3921878,5.651223782,5363.547972,8.97941088,3499.385257
942,0.835797149,0.886604601,0.617526514,0.674935861,0.325064139,7.680364098,771.5304584,5.899853537,4852.481622,8.976942673,3100.219826
943,0.797082424,0.89583035,0.597307911,0.705381388,0.294618612,7.729852989,777.684666,6.200382151,4675.989689,9.252241124,3001.789565
944,0.831866009,0.86764856,0.592336923,0.695926283,0.304073717,7.782683348,783.210296,5.677237857,4719.955761,9.203488938,2988.15578
945,0.84231346,0.904035361,0.600821276,0.756189629,0.243810371,7.586836421,763.3512334,5.575449707,4760.476049,9.589303649,2983.9647
946,0.841513337,0.931041546,0.642451283,0.674937055,0.325062945,7.530182634,755.1443072,6.161268207,4990.654112,8.89291111,3198.388932
947,0.855786309,0.912892163,0.676594205,0.718708706,0.281291294,7.206663757,721.0741728,5.822836156,5123.381633,9.115103955,3302.255275
948,0.839523191,0.915671462,0.60824619,0.749398252,0.250601748,7.556130325,759.8545575,5.719638012,4794.498474,9.52409106,3016.854863
